ALD Lexicon	faae	Sampa_au	IPA	Examples
a	V	6	ɐ	run,enough
A	{	{	æ	lad,cat,ran
EI	{I	{I	æɪ	day
a:U	{O	{O	æɔ	now
u:	u	}:	ʉː	soon,through
u:	}:	}:	ʉː	soon,through
u:	u:	}:	ʉː	soon,through
@	@	@	ə	about,winner
@U	@}	@}	əʉ	no
@:	3:	3:	ɜː	bird
a:	6:	6:	ɐː	father
a:I	Ae	Ae	ɑe	my
b	b	b	b	but, web
d	d	d	d	do, odd
D	D	D	ð	this,breathe
dZ	dZ	dZ	ʤ	gin,joy,edge
E	E	e	e	bed
E@	e:	e:	eː	hair, there
f	f	f	f	fool,enough,leaf
g	g	g	ɡ	go, get,        beg
h	h	h	h	ham
I	I	I	ɪ	kit
i:	i	i:	iː	see
i:	i:	i:	iː	see
I@	I@	I@	ɪə	near, here
j	j	j	j	yes
k	k	k	k	cat, kill, skin, queen, thick
l	l	l	l	left,bell
m	m	m	m	man,ham
n	n	n	n	no,tin
N	N	N	ŋ	singer,ring
O	O	O	ɔ	not,wasp
o:	o:	o:	oː	law,caught
o:I	OI	oI	oɪ	boy
p	p	p	p	pen, spin, tip
r	r	r	ɹ	run,very
r	r\	r	ɹ	run,very
s	s	s	s	see,city,pass
S	S	S	ʃ	she,sure,emotion,leash
t	t	t	t	two, sting, bet, water
T	T	T	θ	thing,breath
tS	tS	tS	ʧ	chair,nature,teach
U	U	U	ʊ	put
U@	U@	U@	ʊə	tour
v	v	v	v	voice,have,of
w	w	w	w	we
wO	W	W	ʍ	what
z	z	z	z	zoo,rose
Z	Z	Z	ʒ	pleasure,beige